hotel_id, comment_num, useful_num, pic_num, comment_date, rating, comment
13002, 5,, 10,2017-07-27,5.0,酒店高大上，装修豪华，离车站很近的，去哪里滴滴打车都很方便，看图片吧。房间不大，但是很温馨，服务也不错，就是没有手持花洒
13002,,,,2020-05-03,,跟图片提供差不多
13002,,,,2019-11-26,,作为四星级酒店，前台接待自我素养应该是很高的，可是这里并没有，有那么一男一女真心很不错，一脸的不耐烦，刷身份证不通过口气就能***，你说一句这俩人能说十句，真的是绝配，服务行业有这样的也是绝了，颠覆了对服务行业的认知；住宿环境没的说，很不错，就是床单被套压根没换，之前的客人入住完没换新的，铺好就让下一位客人入住，床单和擦鞋纸可以看图片有多干净；早餐因为没吃就不知道了，总的来说真的不建议去
13002,,,,2018-08-25,,8年前来桂林住过这里当时房间不错又安静，这次来却完全不一样了，图一是实际房间图二图三是酒店放的房间图看图定了观景豪华标准间结果去了前台说图上错了，图片是豪华套房的图。这个感觉就有点欺骗感觉了，卫生间干湿不分区，一洗澡水会流到马桶那边去，专门去前台反映了这个问题前台让客房送个地巾到房间，结果服务阿姨直接说洒店从来没有地巾也是醉了。最大的问题是每天回房间地上无数的*****可见现在的酒店管理有多混乱，以后决对不会再来入住了。
13002,,,,2018-04-11,,酒店的设施，位置，卫生都还不错，就是在房间上纠结，定的是豪华双人间，入住一看那么小的房间，真心不想艺龙网上挂的图片，稍微差点也就接受啦，但是相差太多啦！后来找前台，艺龙客服都说是豪华间，实在是无话可说啦，也懒得计较啦，只好认倒霉吧！
13002,,,,2018-02-24,,比普通标准多了一点点东西，我以为和图片一样呢！差点。 安排电梯口，声音很吵，不喜欢！
13002, 6, 2, 20,2018-09-08,4.8,总体还好！房间大小适中，卫生搞得还好，房间里除了大床外，还有一个小靠床，小孩子会很喜欢。 酒店的服务员态度都很好，一级棒，很热情。 令人十分不理解的是，有消费陷阱！注意消费陷阱。看到那两瓶水么？一般酒店都是送两瓶水，但是这个酒店是标价的，10元/瓶。如果不注意，打开了，那就坑你没商量啊！另外，收费的几个还都摆在了明面儿上，像茶叶，避孕套，小湿巾，都是打开了就要收费的。小孩子往往喜欢这些小东西，爱打开东西。所以很容易着道！ 我都是把这些东西提前放到抽屉里，不让小孩子看见！防止弄损！这是我们退房的时候，拍的照片，所有标价格的东西全都完好无损，也算是留个证据吧！
13002, 2, 2, 2,2018-08-05,2.0,进入房间的第一眼就碉堡了！怎么那么破？整个房间转下来，心情已是谷底！能跟豪华套房占一点点边的就只能是房间面积而已了！除了这个没有任何一点点能跟豪华搭得上的！毛巾是破的，沙发是破的，电视小的可怜！隔音很差！吹风机是坏的，打了两次电话，差不多要发火了，才给送了一个过来。连餐巾纸都没有，卫生纸也是最差的，洗漱用品更是惨不忍睹！要不是我带着两个孩子玩了一天，第二天还要赶火车，我是真不想住！上传手骨折的照片只是证明我出门带孩子玩已经很不方便了（票是提前定好的），几百块钱就住这破酒店更是心情郁闷到极点了！
13002,,,,2019-06-01,,酒店位置不错交通便利离步行街也近到机场大巴售票处也很方便推荐忘记给窗外拍照片了总之很好给酒店打电话
13002,,,,2019-07-11,,从网上看照片大楼外观高大上，入住才发现亏大了，房间小，有异味，无纱窗，设施简陋，就是接待旅游团的档次。更可笑的，早餐安排到附近的桂林米粉店，就是一碗米粉，别的品种收费。简直是**造！不愧是香江大饭店！
13002,,,,2019-03-15,,忘记了拍照片！这次出来玩去了柳州三江，湖南凤凰古城，桂林！住三百的凤凰古城没有住一百多的香江大饭店环境好
13002,,,,2018-11-06,,前台什么的看着还是比较高大上的，进房间以后就会觉得跟四星级的差距不是一星半点。进门之后的味道很重，最需要吐槽的是卫生间，只有顶喷没有手持的淋浴花洒，是我这么多年行走江湖见到的唯一一个**，洗头也就算了，考虑过洗澡的感受吗。 而且水龙头开关在里面，我要小心不被顶喷喷到一身冷水来控制开关。淋浴门就更搞笑了，只有一半门，洗完澡整个卫生间都是水漫金山了。接下来聊聊洗漱台，不知道怎么说，水龙头一打开，整个洗漱台全是水，地上也都顺着流下来了，简直呵呵哒。卫生间也是没有做防滑的，怕滑倒基本上也只能把浴巾铺在地上了。除了卫生间极力吐槽以外，其他地方还算凑合，主要是位置好找，打车一说地方司机都知道。早饭没有，貌似是不包含的。再次吐槽一百下卫生间！！！太生气了所以没有拍照片，也是醉了，不然可以展示一下
13003, 7, 1, 16,2019-10-04,2.8,上一天住的酒店感觉卫生稍微有点差，想换一个干净的，但是千万不要被图片骗了，这个房间卫生更差，而且设备老久。其他酒店都是直接入住，这个酒店还要押金，而且还得是现金，进入房间就有一股浓重的霉味，甚是刺鼻。只有一个插座，充电甚是不便，房里的电话是个摆设，打不通的。最要命的是屋里很多蚊子，睡觉前打死了两只，晚上还有很多蚊子咬的睡不着，电话打不通，只得半夜自己跑下去拿蚊香片，插上蚊香片就没法给手机充电了。而且此处紧挨火车站，很是吵闹，此房不宜居住。 唯一的优点就是交通方便吧
13003, 9,, 14,2019-08-17,4.8,性价比超高！位置尤其好非常方便！坐火车飞机中转都很方便！设施嘛个别的老旧，影响不大！客房服务好好！五楼的楼顶晾晒衣服也特别方便！大堂很大一张照片都装不全！个人觉得属于规范的较大点的酒店！和大堂相连的旁边超市东西价格一点不贵，包括特产食品饮料矿泉水儿都不贵，超市老板人也很好，没有现金，找他用微信换现金也很乐意！再旁边有一家当地特色摊小面，经济实惠好吃！摊小面六块钱二两！儿子说很好吃！八九十块钱左右，能够有这样的房间是真的真的很难找到的！希望下次来的时候不会因为装修升级而涨价很多呀！
13003, 10, 2,,2017-07-16,5.0,还行吧，好久了，没有照片了。
13003,,,,2017-10-20,,非常不错，便宜环境好，照片忘拍了
13010,,,,2019-08-22,,，说实在的还真不想打分，差评，715房间，床上，房间里有臭虫，卫生非常差，图片上的小黑点就是臭虫
13010, 13, 3,,2017-12-13,3.5,房间实际情况比照片差很多，电视不能看，房间只有一个能看得见的电源，真是。。。免费住都不会愿意的
13010,,,,2018-11-05,,首先丽晶酒店在九星电子商厦对面，地理条件特别好，离那林步行街很近，打车大约10分钟，或者坐10路车，2路车都可以到，只有几站，再者离万达也很近，打车大约15分钟，位置可以说是很方便，处在青山区的中心了，然后，进到酒店大堂，真的特别富丽，很有牌面哦，可以看我上传的照片，真实拍摄，前台的人员说话声音很温柔，态度很好，这个价位的服务真的也是很值得了， 进到房间里面，比较宽敞，窗景很不错，可以看夜景，两个人坐在一起喝点红酒很不错哦，有一次性拖鞋，质量不错，比较厚，不是那种廉价的东西，让我惊喜的是打开衣柜还有浴袍，白色和浅蓝色，可以说很漂亮了，冰箱之类的一些，非常齐全，只是房间里没有看到花，也没有果盘之类的，至于卫生间，下面有我拍摄的照片，水龙头热水都非常好用，只不过有一些旧，当然，这个酒店是老酒店了，从我了解开始，在这边是非常出名的酒店了， 洗澡的花洒挺让我失望的，为什么呢，只有只有高高挂着的，而不能取下来，我一个女孩子，真的不想淋湿到头发上，而且水不细，出水也不均匀，这点真是大大减分，再来说下毛巾，只能说是非常破旧，作为一个真实的点评，我就是要这么无情，浴巾毛巾就是很旧啊，质地不好，擦身体真的不舒服，酒店真的不考虑换批毛巾吗？床不是特别软，但是睡的很舒服，枕头被子都是可以的哦，下面有一张我拍的近距离，哈哈哈，拍的有些黑了，总的来说，基本就是这样，这个酒店还是一个不错的选择的，只要你不是特别的挑剔，哈哈，祝你们住的开心～
13021, 8, 4, 1,2018-10-03,4.8,临时定的酒店，去花果山1小时左右，周围热闹，酒店设施还行，早餐较为丰富，图片还是挺贴心的，有免费停车场
13021, 4,, 9,2017-07-02,5.0,看了评论，抱着试试的心理来体会一下，真的是很好，环境很好！下面的图片足以证明，早餐种类繁多，尤其是服务员刘敏慧和杨珺博，很是满意，去咖啡厅用早餐的时候，看到我们主动问好，询问咖啡红茶，由于人比较多，刘敏慧还贴心的给我和宝宝找了座位，真的不错，更意外的是由于天气比较热，还给我们端来了她们每天自己熬的绿豆汤，很是感动，不多说，下次还会入住此酒店，感谢感谢！
13021,,,,2019-11-07,,第二次入住了，谢谢图片中的服务员，服务员很友好，头一次遇到帮客人洗袜子的。。还送了几个小礼品。对面的公园适合遛娃，光喂鸽子就能喂俩小时。。
13021, 151, 37,,2018-09-30,5.0,酒店干净整洁，早餐很丰盛，订房部赵莹工作认真负责，服务周到，专门去房间拍照片发给我微信，好让我选择房型，还送给我宝宝洗小牙刷和小拖鞋，真是五星级的一流服务，酒店地理位置不错购物餐饮都方便，下次来连云港还会选择云台大酒店！
13021, 66, 1, 30,2017-07-10,5.0,酒店管家李曼超级贴心，被来拍的照片已经丢失了，每次来都住这里，服务太好了，太贴心，强烈推荐
13022,,,,2019-01-27,,酒店脏乱不堪，卫生间返味道，换了三个房间才对付住一晚，千万别被网上图片所蒙骗，枕头上都是印迹，再三要求才给关了被罩床单，商家太坑人，建议大家不要去
13027,,,,2019-07-30,,离地铁站很近哦，出来没走几步就到了，酒店服务很好，需要什么打电话给服务台都能帮你送。想带孩子看九一八历史博物馆和沈飞航天博览园的，从酒店打车也很近，旁边就是北陵公园，可以带孩子逛逛。主要旁边还有南风大剧院，可以看二人转哦。照片忘照了，真实情况和酒店提供图片是一致的。
13027,,,,2019-07-30,,离地铁站很近哦，出来没走几步就到了，酒店服务很好，需要什么打电话给服务台都能帮你送。想带孩子看九一八历史博物馆和沈飞航天博览园的，从酒店打车也很近，旁边就是北陵公园，可以带孩子逛逛。主要旁边还有南风大剧院，可以看二人转哦。照片忘照了，真实情况和酒店提供图片是一致的。
13032, 8, 1, 12,2019-04-08,5.0,4月5.6入住，原来住过的，非常满意，心在卫生更好了，前台服务非常周到，餐厅也非常棒，希望店里的图片对出行人有帮助吧，前台陈晓东，赵亚楠，棒棒哒
13032, 15, 5, 66,2018-08-23,4.0,酒店位置非常好，走路去太原街地铁站只要几分钟，这次是为了带老爹去辽博看画来到的沈阳，选择了这家老三星酒店，携程性价比非常高，还带双份早餐，早餐中西餐都有，种类也多相对于这样的房价已经是很满意了，酒店周边也很繁华，去中街坐地铁4站地也很方便，如果要去辽博推荐坐地铁2号线到白塔河路地铁站下来打滴滴，非常方便。图片前三即在酒店房间内所照。
13032, 4, 1, 25,2019-06-26,3.0,环境尚可，地理位置好，交通方便，但房间面积比较小，与介绍的面积严重不符。服务人员比较热情，乐于提供各种帮助。早餐比较丰富。设施一般，比较老旧。网络信号较差，空调没开，且空调很脏，有黑色粉末。房间有烟味。其中一张床被安放在一个阴暗潮湿的角落，不见阳光，与宣传图片严重不符。刚入住，就发现卫生间马桶是堵塞的。与工作人员沟通后，没有得到及时的疏通。性价比还可以。
13046,,,,2017-10-10,,很干净，比照片上好，下次还会选择。
13047, 1,,,2019-04-04,4.5,早餐真的很一般，但是订的房间和妈妈带着两个孩子出行，性价比很高了。房间够大，一应俱全。房间的设施实际比图片精致很多。总之很满意。
13047, 6, 3, 4,2018-06-17,5.0,特别满意，位置离火车站和江边很近，走十几分钟就到了，是丹东的老酒店了，口碑很好，入住后酒店整体装修很大气，房间设施和图片一样，窗户大，住的舒服，很安静，星级酒店会比宾馆连锁什么安全很多，相对比较放心。尤其特别好的是停车场很大，住客是免费的，停车场师傅也很负责，赞一个。下次去还会住这，提前预定也很实惠。很满意的入住体验，希望继续保持，酒店越来越好！
13047, 41, 103, 69,2018-02-07,3.3,房间带电脑冰箱保鲜柜，不过对很多人多半用不上，酒店装修设施都比较旧了。带孩子出游，订房时看图片还以为是一大一小两张床，结果是两张小床，自己误解了。运气也实在很差，前一房客在房内抽烟，气味久久散不去，大冬天的开着窗户吹了几次，住了三天都还有烟味，这不是无烟楼层吗？不理解，也是第一次碰到这种情况。早餐只含两人，我家不足1米1的孩子需要另付费，看看也没啥可吃的，孩子爸爸干脆到外面小店吃去了。早餐要早去，去晚了啥喝的都没有了，牛奶豆浆果汁全空了，不会再上，也没啥可吃的了。房间一次性拖鞋、茶包那些也不会每天自动补给，需要向服务员要。酒店距离客运站近，去虎山长城，冰雪大世界玩方便。去鸭绿江断桥也不远。马桶是自动的。
13047,,,,2017-10-02,,千万别订这家酒店，服务太差，**客户，派的房间于网上登记照片不符。真的差劲的酒店，怎么评比上4星的？2星都不够格。我在去哪儿网预定豪华套房，进入酒店大厅前台，前台告诉我还没预定，不知有预定，我出示手机才当场安排，安排812，进入后发现是套房双人床，气愤怒，和预定的豪华套房完全不一样，满满的**，去前台理论，说马上给换，换了915，进入屋子内是行政大床标准，愤怒太愤怒，考虑一家人出游别给家人带来过多负面影响，我忍啦！请看到的朋友，不要再把钱花真的个不好地方，真的很差。在网上预定直到我发表差评3.39网上还没有确认入住，都入住3小时多啦，还显示等待入住，效率多低，房费和入住的房间不匹配，********，去哪儿网了解情况后积极帮我了解情况，酒店前台竟然告诉客服，她家客房就是这个标准，网上上传照片不了解什么情况，分配房间就是这个。去哪儿网上传照片不一致，就说不知道，不了解，反正他们酒店就这标准房间，气愤，不是考虑家人感受，十一期间订房难，我真受够啦。
13067, 28, 7, 2,2019-01-10,5.0,房间感觉进去虽然没有官网图片那么大，但是很干净，设施和洗漱用品一应俱全，而且酒店地理位置很好，暖气很热乎
13067, 2,,,2019-08-21,3.3,与图片不符，图片里看起来很大的房间，实际上进去很小
13067, 1,,,2018-01-06,3.8,房间没有图片上看的那么大，卫生方面细节不到位，距离中央大街和教堂1.8公里左右。总体来说还可以吧。。。
13067, 28, 7, 2,2019-01-10,5.0,房间感觉进去虽然没有官网图片那么大，但是很干净，设施和洗漱用品一应俱全，而且酒店地理位置很好，暖气很热乎
13067, 28, 7, 2,2019-01-10,5.0,房间感觉进去虽然没有官网图片那么大，但是很干净，设施和洗漱用品一应俱全，而且酒店地理位置很好，暖气很热乎
13067,,,,2019-10-15,,他家酒店可能都是那种团体，或者单位，定点的地方。前台总是很忙，入住退房都很慢，他们那个电脑系统好像还很卡的样子。我定的高级大床房，就想屋子大点，结果给我一个标间，我去说了，又给了我一个普通大床。我当时没反应过来，就直接住了，现在反应过来也没用了。这些都次要的，就那图片，差距太大了吧。还有那个卫生间的设施，那个水龙头，一直漏水，水还一直没有热水。我退房的时候洗的冷水澡上的火车。打车，说是离哈站挺近，空车出租车都不走，打了40分钟，一个滴滴都没有接单的，位置还能再偏么。我可真二，定这么个鸟不拉屎的地方。
13067,,,,2018-12-19,,酒店还是很不错，附近公车站多，位置很好找，工作人员热情，房间干净，有暖气，各方面都很OK，下次还会住哪里，建议酒店房间可以放点精油或者香薰，薰一下！没有拍图片忘记了。
13067,,,,2018-02-13,,交通十分便利，服务也挺好，就是设施差了点，和图片相差有点大，拖鞋太滑了，沾上水十分容易摔跤，其他都挺好的
13067, 2,, 1,2018-01-27,3.0,房间跟照片不符！打扫不干净！环境也一般！早餐种类很少，一个人鸡蛋只能拿一个！但暖气还是可以的！只能说一班，没有三星级！
13067, 2,,,2017-07-22,2.5,跟照片根本不符，跟小旅馆差不多吧，很晚入住，早早就要出门办事只能对付一晚，毛巾建议消消毒，一股捂吧味了！
13067,,,,2018-10-18,,入住感受很好 这里离中华巴洛克很近 附近草市街吃的东西很多 走到江边需要10多分钟 从江边就可以走到中央大街 一共用了半个多小时 房间里的环保拖鞋很舒服 房间也很干净 尤其服务态度特别的好 早餐没有吃 不知道什么样子 晚上出门的时候看见送餐员上下楼都需要登记 安全有保障 忘记拍照片了 不错 推荐入住
13094, 10, 1, 16,2018-05-29,4.3,必须赞👍一下携程的服务，因为入住时发现和订的房间图片有差距（房间太旧），经携程协调搬到楼上新装修的房间，舒服多了。周边比较脏乱，但是出行购物都很方便，陪孩子到考评局考试住这里很合适，多趟巴士都到，也不远。
13094,,,,2019-07-23,,"交通方便,整体不错,服务很好,房间很大,性价比高,地铁站很近,环境不错,酒店🏨真是不错，对比了好几家看图片后才选择这家的，我那层的房间前面都有一扇防火门才到房间门，打开门后发现房间挺大的，在香港寸金尺土的地方算大了，而且挺干净的，一进门一家都觉得意外，我们要的时家庭房，足够一家三口住，想不到房间的沙发🛋还可以打开当床，我女儿有床都不睡，居然两晚睡沙发，说挺舒服的，餐厅就无去看看，所以评论不了，一千多两晚就真是值得住的，下次来还住这里算了，确实放便出行的！"
13094,,,,2018-05-07,,位置不错 离庙街也很近 地铁站 最重要的是房间大 在香港这个价位住这么宽敞的房间真的自己都想表扬自己 而且房间像是新装修的干净卫生之前看评论的图片还担心会比较旧 只敢订一天先试试看 一来自己都觉得很惊喜 酒店也有插头的转换器 自己可以不带 房间有点乱 将就点看😢
13094,,,,2017-09-10,,总的来说性价比相当高咯，与网上图片一样的，最满意的是交通很方便，出酒店一百米左右就有地铁站.关键机场快线也在附近、酒店里面应该有的都有。对于这个价格的酒店满分。
13094, 13, 1, 14,2019-05-13,4.0,性价比高，照片上在没有开灯的情况下拍的
13094,,,,2019-01-23,,酒店位置很好，下了高铁向柯士甸地铁站a出口走，从a出口出来，左手边那条马路就可以看到酒店了，相当方便，酒店下午2点办理入住，可以免费寄存行李，酒店前台很棒，我问了好多路，都特别热情的帮我讲，不像评论里面说的态度很差，我是从酒店走路去海港城然后到维港的，大约步行25分钟可以到达维港，酒店到佐敦地铁站大约走路10分钟，顺着佐敦地铁站一直走就到中港城海港城了，很近很方便！酒店步行到庙街五分钟，晚上吃饭方便，离翠华餐厅、澳门牛奶公司也很近！酒店房间的照片上传不上来，房间很大，在香港这寸土寸金的地方，这么大的房间真是很不错了，就是酒店设有中央空调不能关闭，晚上睡觉还是很冷的，可以要毛毯唯一不足的地方就是我们去的那天酒店水管坏了，没有水，不能洗澡很悲催，到晚上1点多都没修好。这点很不方便，其他都好！
13094,,,,2018-02-18,,酒店家庭房真心够大，实在有点儿意外！来前找了不少酒店的家庭房，同档次的基本没有比这个房间大的，只是忘了拍房间照片了，美中不足的是隔音不好。 酒店位置还不错，交通非常方便，从机场直接做A22大概一小时就到，下车站走到酒店就几分钟，这次来回都坐的A22，单程不到40港币，性价比很高。 酒店离佐敦，柯士甸地铁站都很近。附近有好几家网红店，佳佳甜品，十八座狗仔粉，点点心点心店，义顺牛奶公司......还有酒店对面有两家一直很火的店，最后一天去了其中的拍板小馆吃了早茶，很地道很后悔没早发掘到😍；对于喜欢购物的童鞋，离酒店一站地的DFS，海港城等也足够满足购物欲的了。 其实最想赞的还是酒店的服务，无论是前台接待还是大堂经理，态度都很友好很有耐心，虽然酒店的设施略显陈旧，但每天的客房服务还是很认真的，看得出来，酒店的管理还是很专业的。以前很少写点评，这次啰啰嗦嗦写了这些，其实很想在酒店留言上给点个赞的，以后还会再来😀
13094,,,,2017-10-31,,二次亚博馆SAT考试都住该酒店，主要是太方便了，机场抵达乘住A22大巴直接第一站就到，酒店安静整洁，周边网红餐食都到位，云吞面、澳洲双皮奶、翠华、甜品店、点点点心等，万宁等什么都有，庙街夜市，位于繁华地段，早上六点起床，转角处24小时茶餐厅吃上份丰盛的早餐套餐，走过地道、天桥就到圆方九龙机场站，参加考试凭考证可购买优惠往反地铁票，到达展馆很快，7点半就到了，人还不多，找考位进场，友情提示有去考SAT的真心住该酒店决佳选择，早上就象家门囗步行去坐地铁，不用打的，坐公交等，该位置正是不错，本人认为机场快线沿线伟晴轩真是理想的方案，考完第二天酒店下面对门的早茶很有名，都是当地港人用茶之地，门口挂了许多明星在此店的照片，早茶品种多关键价格实惠，小点、大点、特点都不贵，感觉在广州品早茶，品茶一个多小时后。 步行前往海港城，走出地道囗就能看到，到了开始购物，尝港红的蛋糕，拍拍照，于酒店说好下午二点半退房，所以时间决对宽松，返回酒店拿行李退房，非常的满意，真是为吃、住、购、行、玩得方便，因国庆假期港出机票很贵，而且航班时间也有些晚，所以订的深圳飞上海的，离开酒店直接去圆方坐中港大巴，第一坐确实方便，比坐地铁还方便，不用下楼，直接进去有大巴购买休息点，行李可寄存，商场里转转看看，食品超市买的水果，寿司，星巴克咖啡入坐用下午餐，大巴时间到直接休息厅电梯下去坐车，约一个小时下车过关，几道关卡，用证件扫描，按姆指就过了，出了关囗大巴就在正前方等着上车，满员开车，不到一个小时就到深圳三号航站楼出发大厅门口，太方便了，办理托运手续进入，用晚餐时间到了，就在候机大厅餐厅用膳，登机时间到，上机休息一下晚上到家，整体出行都很好
13143, 4, 3, 4,2018-03-11,2.0,床单很严重的消毒药水味，床上有虫。小孩被虫子咬了一身(脸上，背见图片)。这种酒店以后免费也不会住了。差评差评
13143, 2, 1,,2019-01-30,5.0,第二次预约入住了，上次住在面向西江这边风景很美，这次的环境卫生也是很不错的，照片忘记拍了😭还是很满意的
13143,,,,2017-07-18,,我下午就入住了。酒店一直没确认。还好，我来看一下。因为给了担保金。 照片上看酒店很好。地点确实很偏，进来的话很老旧了。但这个价格还好吧。可以接受。有车的话会更方便。
